portNo,portName
11188,Lyall Harbor
11189,Hope Bay
11190,Sidney
11191,Bamberton
11192,Victoria Harbor
11193,Esquimalt Harbor
11194,Port San Juan
11195,Port Alberni
11196,Ucluelet
11197,Clayoquot
11198,Ahousat
11199,Gold River
11200,Tahsis
11201,Bergh Cove
11202,Port Alice
11203,Coal Harbor
11204,Port Hardy
11205,Sointula
11206,Alert Bay
11207,Port Mcneill
11208,Bella Coola
11209,Bella Bella
11210,Klemtu
11211,Butedale
11212,Kemano Bay
11213,Kitimat
11214,Porpoise Harbor
11215,Prince Rupert
11216,Port Simpson
11217,Stewart
11218,Masset Harbor
11219,Port Clements
11220,Queen Charlotte
11221,Alliford Bay
11222,Hyder
11223,Hidden Inlet
11224,Metlakatla
11225,George Inlet
11226,Ketchikan
11227,Ward Cove
11228,Knudson Cove
11229,Loring
11230,Yes Bay
11231,Union Bay
11232,Burnett Inlet
11233,Wrangell
11234,Kasaan
11235,Rose Inlet
11236,Hydaburg
11237,Waterfall
11238,Craig
11239,Klawock
11240,Steamboat Bay
11241,Fishermans Harbor
11242,Petersburg
11243,Kake
11244,Washington Bay
11245,Bay Of Pillars
11246,Big Port Walter
11247,Little Port Walter
11248,Port Armstrong
11249,Port Conclusion
11250,Port Alexander
11251,Sitka
11252,Kimshan Cove
11253,Pelican
11254,Elfin Cove
11255,Hoonah
11256,Tenakee Springs
11257,Chatham
11258,Todd
11259,Hood Bay
11260,Hawk Inlet
11261,Funter
11262,Dupont
11263,Juneau
11264,Port Chilkoot
11265,Haines
11266,Tanani Point
11267,Skagway
11268,Letnikof Cove
11269,Excursion Inlet
11270,Yakutat
11271,Katalla
11272,Orca
11273,Cordova
11274,Shepard Point
11275,Swanport
11276,Valdez
11277,Whittier
11278,Crab Bay
11279,Port Ashton
11280,San Juan Cannery
11281,Latouche
11282,Seward
11283,Port Graham
11284,Seldovia
11285,Homer
11286,Coal Point
11287,Ninilchik
11288,Kenai
11289,Nikiski
11290,Anchorage
11291,Drift River
11292,Snug Harbor
11293,Ouzinkie
11294,Kodiak
11295,Womens Bay
11296,Port Hobron
11297,Mccord
11298,Three Saints Bay
11299,Trap Point
11300,Lazy Bay
11301,Karluk
11302,Uyak
11303,Larsen Bay
11304,Port Obrien
11305,Dry Spruce Bay
11306,Port Vita
11307,Bear Island
11308,Hogg Island
11309,Port William
11310,Kanatak
11311,Chignik
11312,Ivanof Bay
11313,Sand Point
11314,Baralof Bay
11315,Unga
11316,Belkofski
11317,King Cove
11318,Cold Bay
11319,Sanak
11320,Akutan Harbor
11321,Cannery Bay
11322,Makushin
11323,Dutch Harbor
11324,Unalaska
11325,Palisades Point
11326,Adak Naval Air Station
11327,Constantine Harbor
11328,Kiska
11329,Alcan Harbor
11330,Skoot Cove
11331,Massacre Bay
11332,Village Cove
11333,Port Moller
11334,Port Heiden
11335,Pilot Point
11336,Ugashik
11337,Egegik
11338,Naknek
11339,Koggiung
11340,Ekuk
11341,Clarks Point
11342,Dillingham
11343,Platinum
11344,Bethel
11345,Nash Harbor
11346,Kwiguk
11347,Kotlik
11348,Hamilton
11349,St Michael
11350,Unalakleet
11351,Solomon
11352,Nome
11353,Grantley Harbor
11354,Savoonga
11355,Shishmaref
11356,Deering
11357,Kotzebue
11358,Wainwright
11359,Barrow
11360,Prudhoe Bay
11361,Bernard Harbor
11362,Tuktoyaktuk
11363,Police Point
11364,Paulatuk
11365,Pearce Point
11366,Tysoe Point
11367,Sachs Harbor
11368,Cape Young
11369,Bernard Harbor
11370,Lady Franklin Point
11371,Coppermine
11372,Cambridge Bay
11373,Resolute Bay
11374,Barentsburg
11375,Longyearbyen
11376,Ny Alesund
11377,Kirkenes
11378,Vadso
11379,Batsfjorden
11380,Vardo
11381,Berlevag
11382,Kjollefjorden
11383,Honningsvag
11384,Kvalsund
11385,Hammerfest
11386,Sorvaer
11387,Bredvik
11388,Oksfjord
11389,Alta
11390,Talvik
11391,Tromso
11392,Gibostad
11393,Finnsnes
11394,Medby
11395,Sjovegan
11396,Harstad
11397,Andenes
11398,Sortland
11399,Stokkmarknes
11400,Reine
11401,Ballstad
11402,Stamsund
11403,Henningsvaer
11404,Svolvaer
11405,Skrova Havn
11406,Brettesnes
11407,Lodingen
11408,Ulvik
11409,Lilandsgrunnen
11410,Narvik
11411,Litle Ballangen
11412,Drag
11413,Korsnes
11414,Tranoy
11415,Kjerringoy
11416,Bodo
11417,Lakselv
11418,Fauske
11419,Rognan
11420,Ornes
11421,Glomfjord
11422,Sandnessjoen
11423,Mo Inlet
11424,Hemnesberget
11425,Mosjoen
11426,Tjotta
11427,Bronnoysund
11428,Berg
11429,Rorvik
11430,Salsbruket
11431,Namsos
11432,Malm
11433,Steinkjer
11434,Djupviken
11435,Levanger
11436,Langstein
11437,Muruvik
11438,Hommelvik
11439,Trondheim
11440,Thamshamm
11441,Kristiansund
11442,Sunndalsora
11443,Bud
11444,Haroysund
11445,Molde
11446,Andalsnes
11447,Hareid
11448,Moldtustranda
11449,Orstav
11450,Alesund
11451,Maloy
11452,Floro
11453,Ardalstangen
11454,Mongstad
11455,Stura
11456,Vaksdal
11457,Bergen
11458,Brattholmen
11459,Tranneset
11460,Strandvik
11461,Norheimsund
11462,Odda
11463,Meling
11464,Mosterhamn
11465,Sagvag
11466,Leirvik
11467,Husnes
11468,Haugesund
11469,Kopervik
11470,Karsto
11471,Espevaer
11472,Sauda
11473,Akrahamn
11474,Sandnes
11475,Stavanger
11476,Skudeneshavn
11477,Tananger
11478,Egersund
11479,Rekefjord
11480,Kirkehamn
11481,Flekkefjorden
11482,Farsund
11483,Stusvik
11484,Mandal
11485,Kristiansand
11486,Arendal
11487,Tvedestrand
11488,Risor
11489,Kragero
11490,Brevik
11491,Porsgrunn
11492,Skien
11493,Larvik
11494,Sandefjorden
11495,Tonsberg
11496,Valloy
11497,Slagenstangen
11498,Horten
11499,Holmestrand
11500,Svelvik
11501,Drammen
11502,Storsteilene
11503,Oslo
11504,Fagerstrand
11505,Drobak
11506,Tofte
11507,Kambo
11508,Moss
11509,Sarpsborg
11510,Fredrikstad
11511,Halden
11512,Stromstad
11513,Grebbestad
11514,Fjallbacka
11515,Bovallstrand
11516,Hunnebostrand
11517,Brofjorden
11518,Lysekil
11519,Uddevalla
11520,Stenungsund
11521,Marstrand
11522,Goteborg
11523,Varberg
11524,Falkenberg
11525,Halmstad
11526,Hoganas
11527,Helsingborg
11528,Landskrona
11529,Malmo
11530,Limhamn
11531,Trelleborg
11532,Ystad
11533,Simrishamn
11534,Ahus
11535,Solvesborg
11536,Karlshamn
11537,Ronneby
11538,Karlskrona
11539,Bergkvara
11540,Kalmar
11541,Stora Jatterson
11542,Oskarshamn
11543,Figeholm
11544,Degerhamn
11545,Ronehamn
11546,Slite
11547,Farosund
11548,Storugns
11549,Visby
11550,Klintehamn
11551,Verkeback
11552,Vastervik
11553,Norrkoping
11554,Oxelosund
11555,Nykoping
11556,Sodertalje
11557,Nynashamn
11558,Gustavsberg
11559,Sandhamn
11560,Stockholm
11561,Vasteras
11562,Grisslehamn
11563,Hallstavik
11564,Hargshamn
11565,Skutskar
11566,Karskar
11567,Gavle
11568,Norrsundet
11569,Vallvik
11570,Sandarne
11571,Soderhamn
11572,Iggesund
11573,Hudiksvall
11574,Stocka
11575,Stockvik
11576,Sundsvall
11577,Vivstavarv
11578,Soraker
11579,Harnosand
11580,Ulvvik
11581,Utansjo
11582,Gustavsvik
11583,Lunde
11584,Kramfors
11585,Vaja
11586,Bollstabruk
11587,Kopmanholmen
11588,Domsjo
11589,Ornskoldsvik
11590,Husum
11591,Rundvik
11592,Nordmaling
11593,Obbola
11594,Umea Hamn
11595,Gumbodahamn
11596,Skelleftehamn
11597,Kagehamn
11598,Brannfors
11599,Pitea
11600,Lulea
11601,Torehamn
11602,Karlsborg
11603,Sandvik
11604,Torina
11605,Kemi
11606,Oulu
11607,Raahe
11608,Veitsiluoto
11609,Rahja
11610,Himanka
11611,Kokkola
11612,Jakobstad
11613,Nykarleby
11614,Kantlax
11615,Hellnas
11616,Vaasa
11617,Kaskinen
11618,Kristinestad
11619,Pori
11620,Mantyluoto
11621,Tahkoluoto
11622,Rauma
11623,Uusikaupunki
11624,Naantali
11625,Turku
11626,Tolkkinen
11627,Signilskar
11628,Mariehamn
11629,Pargas
11630,Hanko
11631,Ekenas
11632,Jussaro
11633,Porkkala
11634,Inkoo
11635,Helsinki
11636,Porvoo
11637,Loviisa
11638,Kotka
11639,Hamina
11640,Vyborg
11641,Gavan Vysotsk
11642,Primorsk
11643,Sankt-Peterburg
11644,Lomonosov
11645,Kronshtadt
11646,Reka Luga
11647,Kunda
11648,Tallinn
11649,Muuga-Port Of Tallin
11650,Paldiski
11651,Osmussaar
11652,Parnu
11653,Salacgriva
11654,Riga
11655,Lielupe
11656,Ventspils
11657,Liepaja
11658,Butinge Oil Terminal
11659,Klaipeda
11660,Baltiysk
11661,Kaliningrad
11662,Gdansk
11663,Port Polnochny
11664,Nowy Port
11665,Gdynia
11666,Police
11667,Ustka
11668,Darlowo
11669,Kolobrzeg
11670,Swinoujscie
11671,Szczecin
11672,Wolgast
11673,Sassnitz
11674,Stralsund
11675,Rostock
11676,Wismar
11677,Lubeck-Travemunde
11678,Lubeck
11679,Neustadt
11680,Orth
11681,Heiligenhafen
11682,Kiel
11683,Eckernforde
11684,Kappeln
11685,Flensburg
11686,Nekso
11687,Ronne
11688,Hasle
11689,Christianso Harbor
11690,Fakse Ladeplads Havn
11691,Koge
11692,Kobenhavn
11693,Tuborg
11694,Helsingor
11695,Hundested
11696,Frederiksvaerk
11697,Frederikssund
11698,Kyndbyvaerkets Havn
11699,Holbaek
11700,Nykobing (Mor)
11701,Kalundborg
11702,Korsor
11703,Skaelskor
11704,Stigsnaesvaerket
11705,Gulfhaven
11706,Naestved
11707,Vordingborg
11708,Stubbekobing
11709,Stege
11710,Nykobing (Falster)
11711,Sakskobing
11712,Bandholm
11713,Nakskov
11714,Rodby Havn
11715,Nysted
11716,Rudkobing
11717,Marstal
11718,Aeroskobing
11719,Svendborg
11720,Nyborg
11721,Kerteminde
11722,Odense
11723,Skaerbaek
11724,Middelfart
11725,Assens
11726,Faborg
11727,Sonderborg
11728,Augustenborg
11729,Abenra
11730,Ensted
11731,Haderslev
11732,Kolding
11733,Fredericia
11734,Vejle
11735,Horsens
11736,Arhus
11737,Studstrup
11738,Grenaa Havn
11739,Randers
11740,Hadsund
11741,Mariager
11742,Hobro
11743,Hals
11744,Alborg
11745,Frederikshavn
11746,Skagen Havn
11747,Hirtshals
11748,Hanstholm
11749,Thisted
11750,Thyboron
11751,Lemvig
11752,Holstebro-Stuer
11753,Ringkobing
11754,Esbjerg
11755,Husum
11756,Busum
11757,Brunsbuttel Elbahafen
11758,Brunsbuttel Canal Terminals
11759,Itzehoe
11760,Rendsburg
11761,Neuhaus
11762,Gluckstadt
11763,Hamburg
11764,Butzfleth
11765,Cuxhaven
11766,Bremerhaven
11767,Nordenham
11768,Brake
11769,Elsfleth
11770,Oldenburg
11771,Bremen
11772,Wilhelmshaven
11773,Emden
11774,Leer
11775,Papenburg
11776,Eemshaven
11777,Delfzijl
11778,Harlingen
11779,Den Helder
11780,Ijmuiden
11781,Zaandam
11782,Amsterdam
11783,Scheveningen
11784,Hoek Van Holland
11785,Europoort
11786,Maassluis
11787,Vlaardingen
11788,Schiedam
11789,Rotterdam
11790,Dordrecht
11791,Vlissingen
11792,Hansweert
11793,Terneuzen
11794,Antwerpen
11795,Bruxelles
11796,Ghent
11797,Zeebrugge
11798,Bruges
11799,Oostende
11800,Nieuwpoort
11801,Whitstable
11802,Sheerness
11803,Isle Of Grain
11804,Thamesport
11805,Chatham Docks
11806,Gravesend
11807,Tilbury
11808,London
11809,Colchester
11810,Harwich
11811,Ipswich
11812,Felixstowe
11813,Lowestoft
11814,Great Yarmouth
11815,Wisbech
11816,King'S Lynn
11817,Boston
11818,Grimsby
11819,Immingham
11820,Kingston Upon Hull
11821,Howdendyke
11822,New Holland
11823,Goole
11824,Bridlington
11825,Scarborough
11826,Whitby
11827,Teesport
11828,Hartlepool
11829,Seaham
11830,Sunderland
11831,Tynemouth
11832,Blyth
11833,Warkworth Harbour
11834,Berwick-Upon-Tweed
11835,Eyemouth
11836,Dunbar
11837,Bird Port
11838,Leith
11839,Granton
11840,Braefoot Bay Terminal
11841,Hound Point Terminal
11842,Rosyth
11843,Grangemouth
11844,Burntisland
11845,Methil
11846,Dundee
11847,Perth
11848,Montrose
11849,Aberdeen
11850,Peterhead
11851,Fraserburgh Harbor
11852,Macduff
11853,Buckie Harbor
11854,Lossiemouth
11855,Burghead
11856,Inverness
11857,Cromarty
11858,Invergordon
11859,Portmahomack Harbor
11860,Helmsdale Harbor
11861,Wick
11862,Pierowall
11863,Kettletoft
11864,Whitehall
11865,Kirkwall
11866,Stromness
11867,South Ness
11868,St Margarets Hope
11869,Lyness
11870,Scapa Bay
11871,Scalloway
11872,Lerwick
11873,Sullom Voe
11874,Vagur
11875,Tvoroyri
11876,Torshavn
11877,Kongshavn
11878,Runavik
11879,Vestmanna
11880,Sorvagur
11881,Fuglafjordur
11882,Klaksvik
11883,Scrabster Harbor
11884,Ullapool
11885,Aultbea
11886,Gairloch
11887,Plockton
11888,Kyle Of Lochalsh
11889,Kyleakin
11890,Broadford Bay
11891,Portree Harbor
11892,Uig
11893,Lochmaddy
11894,Castle Bay
11895,Lochboisdale
11896,Stornoway Harbor
11897,Tarbert
11898,Ornsay
11899,Mallaig
11900,Tobermory
11901,Kilkeel
11902,Lochaline
11903,Craignure
11904,Corpach
11905,Fort William
11906,Glensanda
11907,Oban
11908,Port Ellen
11909,Crinan (Canal)
11910,Campbeltown
11911,Lamlash Harbor
11912,Ardrishaig
11913,Rothesay Harbor
11914,Greenock
11915,Finnart Oil Terminal
11916,Bowling
11917,Old Kilpatrick
11918,Rothesay Dock
11919,Renfrew
11920,Glasgow
11921,Largs
11922,Hunterston
11923,Millport
11924,Ardrossan
11925,Troon
11926,Ayr
11927,Stranraer
11928,Bangor
11929,Douglas
11930,Ramsey
11931,Warren Point
11932,Ardglass
11933,Belfast
11934,Kilroot
11935,Larne
11936,Coleraine
11937,Londonderry
11938,Rathmullan
11939,Killybegs
11940,Sligo
11941,Lancaster
11942,Westport
11943,Drogheda
11944,Galway
11945,Limerick
11946,Foynes
11947,Tarbert
11948,Fenit
11949,Castletown Bearhaven
11950,Valentia
11951,Kilrush
11952,Bantry
11953,Cobh
11954,Cork
11955,New Ross
11956,Waterford
11957,Rosslare
11958,Dublin
11959,Greenore
11960,Silloth
11961,Workington
11962,Barrow In Furness
11963,Heysham
11964,Garlston
11965,Liverpool Bay Terminal
11966,Fleetwood
11967,Mostyn
11968,Liverpool
11969,Manchester
11970,Holyhead
11971,Caernarvon
11972,Fishguard
11973,Milford Haven
11974,Swansea
11975,Neath
11976,Port Talbot
11977,Barry
11978,Cardiff
11979,Newport
11980,Sharpness
11981,Avonmouth
11982,Bristol
11983,Bridgwater
11984,Watchet Harbor
11985,Bideford
11986,Padstow
11987,Hayle
11988,St. Mary'S (Scilly Isl.)
11989,Newlyn
11990,Penzance
11991,Falmouth Harbour
11992,Mevagissey
11993,Charlestown
11994,Par
11995,Fowey Harbour
11996,Plymouth
11997,Dartmouth Harbour
11998,Brixham Harbour
11999,Torquay Harbour
12000,Teignmouth Harbour
12001,Bridport Harbour
12002,Portland Harbour
12003,Weymouth Harbour
12004,Poole Harbour
12005,Cowes Harbour
12006,Yarmouth Harbour
12007,Southampton
12008,Fawley Marine Terminal
12009,Portsmouth Harbour
12010,Littlehampton Harbour
12011,Shoreham Harbour
12012,Newhaven Harbour
12013,Rye Harbour
12014,Folkestone Harbour
12015,Dover Harbor
12016,Ramsgate
12017,Dunkerque Port Est
12018,Dunkerque Port Ouest
12019,Gravelines
12020,Calais
12021,Boulogne-Sur-Mer
12022,Saint-Valery-Sur-Somme
12023,Le Treport
12024,Dieppe
12025,Fecamp
12026,Port Du Havre-Antifer
12027,Port Of Le Havre
12028,Port Of Rouen
12029,Honfleur
12030,Deauville
12031,Port De Caen
12032,Ouistreham
12033,Rade De Cherbourg
12034,Alderney Harbour
12035,Saint Sampson
12036,Saint Peter Port
12037,Saint Helier Harbour
12038,Granville
12039,Saint-Malo
12040,Le Legue
12041,Paimpol
12042,Pontrieux
12043,Treguier
12044,Morlaix
12045,Port De Roscoff-Bloscon
12046,Rade De Brest
12047,Concarneau
12048,Lorient
12049,St Nazaire
12050,Montoir
12051,Donges
12052,Nantes
12053,Les Sables D' Olonne
12054,La Pallice
12055,La Rochelle
12056,Rochefort
12057,Tonnay Charente
12058,Le Verdon
12059,Pauillac
12060,Blaye
12061,Ambes
12062,Bordeaux
12063,Bayonne
12064,Puerto De Pasajes
12065,Bermeo
12066,Puerto De Bilbao
12067,Santander
12068,Gijon
12069,Aviles
12070,Ribadeo
12071,San Ciprian
12072,Ferrol
12073,La Coruna
12074,Villagarcia De Arosa
12075,Marin
12076,Vigo
12077,Viana Do Castelo
12078,Porto De Leixoes
12079,Douro
12080,Aveiro
12081,Figueira Da Foz
12082,Lisboa
12083,Setubal
12084,Sines
12085,Lagos
12086,Faro
12087,Vila Real De S Antonio
12088,Horta
12089,Lajes
12090,Angra Do Heroismo
12091,Praia De Vitoria
12092,Ponta Delgada
12093,Vila Do Porto
12094,Funchal
12095,Santa Cruz De La Palma
12096,Santa Cruz De Tenerife
12097,Las Palmas
12098,Puerto Del Rosario
12099,Arrecife
12100,Huelva
12101,Sevilla
12102,Rota
12103,Cadiz
12104,Algeciras
12105,Europa Point
12106,Malaga
12107,Motril
12108,Adra
12109,Almeria
12110,Puerto De Carboneras
12111,Puerto De Garrucha
12112,Aguilas
12113,Hornillo
12114,Cartagena
12115,Islas Hormigas
12116,Torrevieja
12117,Alicante
12118,Puerto De Gandia
12119,Valencia
12120,Sagunto
12121,Burriana
12122,El Grao
12123,Tarragona
12124,Villanueva Y Geltru
12125,Barcelona
12126,San Feliu De Guixols
12127,Palamos
12128,Las Hormigas
12129,Rosas
12130,Ibiza
12131,Palma De Mallorca
12132,Puerto De Alcudia
12133,Mahon
12134,Port-Vendres
12135,Port-La-Nouvelle
12136,Sete
12137,Port Saint Louis Du Rhone
12138,Fos
12139,Port-De-Bouc
12140,Marseille
12141,Toulon
12142,Saint-Tropez
12143,Saint-Raphael
12144,Cannes
12145,Antibes
12146,Nice
12147,Villefranche
12148,Monaco
12149,Bastia
12150,Porto Vecchio
12151,Bonifacio
12152,Port De Propriano
12153,Port D' Ajaccio
12154,Calvi
12155,L'Ile Rousse
12156,La Maddalena
12157,Olbia
12158,Arbatax
12159,Cagliari
12160,Sarroch Oil Terminal
12161,Porto Ponte Romano
12162,Carloforte
12163,Porto Vesme
12164,Porto Di Oristano
12165,Porto Torres
12166,San Remo
12167,Imperia
12168,Rada Di Vado
12169,Savona
12170,Oristano
12171,Genova
12172,La Spezia
12173,Marina Di Carrara
12174,Livorno
12175,Vada
12176,Portoferraio
12177,Portovecchio Di Piombino
12178,Porto Santo Stefano
12179,Civitavecchia
12180,Fiumicino
12181,Anzio
12182,Gaeta
12183,Pozzuoli
12184,Bagnoli
12185,Napoli
12186,Torre Annunziata
12187,Castellammare Di Stabia
12188,Salerno
12189,Vibo Valentia Marina
12190,Reggio Di Calabria
12191,Messina
12192,Milazzo
12193,Gioia Tauro
12194,Termini Imerese
12195,Porto Di Palermo
12196,Trapani
12197,Marsala
12198,Mazara Del Vallo
12199,Porto Empedocle
12200,Licata
12201,Gela
12202,Pozzallo
12203,Siracusa
12204,Melilli Oil Terminal
12205,Augusta
12206,Catania
12207,Lipari
12208,Valletta Harbors
12209,Marsaxlokk
12210,Crotone
12211,Taranto
12212,Gallipoli
12213,Otranto
12214,Brindisi
12215,Torre Del Greco
12216,Monopoli
12217,Bari
12218,Molfetta
12219,Porto Di Barletta
12220,Manfredonia
12221,Vasto
12222,Ortona
12223,Pescara
12224,Ancona
12225,Porto Di Corsini
12226,Porto Di Chioggia
12227,Porto Di Malamocco
12228,Porto Di Lido-Venezia
12229,Monfalcone
12230,Trieste
12231,Muggia
12232,Koper
12233,Piran
12234,Umag
12235,Rovinj
12236,Pula
12237,Zaliv Rasa
12238,Brsica
12239,Rijeka Luka
12240,Bakar
12241,Omisalj
12242,Senj
12243,Zadar
12244,Sibenik
12245,Split
12246,Dugi Rat
12247,Ploce
12248,Neum
12249,Korcula
12250,Dubrovnik
12251,Risan
12252,Kotor
12253,Tivat
12254,Bar
12255,Shengjin
12256,Durres
12257,Vlores
12258,Kerkira
12259,Preveza
12260,Argostolion
12261,Mesolongion
12262,Itea
12263,Aiyion
12264,Patrai
12265,Katakolon
12266,Pilos
12267,Kalamata
12268,Yithion
12269,Navplio
12270,Spetses
12271,Lavrio
12272,Megara Oil Terminal
12273,Ayios Nikolaos
12274,Elevsis
12275,Pakhi Oil Terminal
12276,Perama
12277,Piraievs
12278,Ormos Mikro Vathi
12279,Dhiavlos Steno
12280,Chalkis
12281,Ormos Aliveriou
12282,Astakos
12283,Aspropirgos
12284,Porthmos Evripou
12285,Larimna
12286,Kymassi
12287,Achladi
12288,Stilis
12289,Tsingeli
12290,Volos
12291,Miliana
12292,Thessaloniki
12293,Yerakini
12294,Stratoni
12295,Kavala
12296,Lagos
12297,Alexandroupoli
12298,Mitilini
12299,Plomarion
12300,Vrakhonisis Kallonis
12301,Khios
12302,Neon Karlovas
12303,Samos
12304,Pithagorion
12305,Gavrio
12306,Andros
12307,Mikonos
12308,Limin Sirou
12309,Nisos Naxos
12310,Milos
12311,Akra Kavonisi
12312,Soudha
12313,Rethimnon
12314,Iraklion
12315,Sitia
12316,Ayios Nikolaos
12317,Kali Limenes
12318,Rodhos
12319,Limin Kos
12320,Kalimnos
12321,Lakki
12322,Aliaga
12323,Gemlik
12324,Eceabat
12325,Gelibolu
12326,Borusan Fertilizer Jetty
12327,Ambarli
12328,Tekirdag
12329,Istanbul
12330,Defterdar Burnu
12331,Istinye
12332,Burgas
12333,Varna
12334,Mangalia
12335,Basarabi
12336,Constanta
12337,Medgidia
12338,Danube-Black Sea Canal
12339,Cernavoda
12340,Midia
12341,Sulina
12342,Tulcea
12343,Braila
12344,Galati
12345,Izmayil
12346,Illichivsk
12347,Odesa
12348,Yuzhnyy
12349,Mykolayiv
12350,Port Oktyabrsk
12351,Dnipro-Buzkyy
12352,Kherson
12353,Belgorod-Dnestrovsky
12354,Skadovs'K
12355,Khorly
12356,Chornomors Ke
12357,Ust-Dunaisk
12358,Yevpatoriya
12359,Sevastopol
12360,Balaklava
12361,Yalta
12362,Alushta
12363,Sudak
12364,Feodosiya
12365,Kerch
12366,Reni
12367,Henichesk
12368,Kyrylivka
12369,Berdyansk
12370,Mariupol
12371,Taganrog
12372,Rostov-Na-Donu
12373,Azov
12374,Yeysk
12375,Temryuk
12376,Kavkaz Oil Terminal
12377,Anapa
12378,Novorossiysk
12379,Gelendzhik
12380,Tuapse
12381,Sochi
12382,Adler
12383,Sokhumi
12384,Poti
12385,Supsa Marine Terminal
12386,Batumi
12387,Hopa
12388,Rize
12389,Trabzon
12390,Giresun
12391,Ordu
12392,Samsun
12393,Sinop
12394,Inebolu
12395,Zonguldak
12396,Eregli
12397,Haydarpasa
12398,Botas Natural Gas Terminal
12399,Yarimca
12400,Kaba Burnu
12401,Derince Burnu
12402,Izmit
12403,Gebze
12404,Golcuk Burnu
12405,Mudanya
12406,Bandirma
12407,Erdek
12408,Karabiga
12409,Canakkale
12410,Ayvalik
12411,Dikili
12412,Izmir
12413,Gulluk
12414,Nemrut Limani Bay
12415,Kusadasi
12416,Bodrum
12417,Toros Gubre
12418,Botas Dortyol Oil Terminal
12419,Yakacik
12420,Delta Terminal
12421,Marmaris
12422,Aksaz Limani
12423,Antalya Offshore Terminal
12424,Fethiye
12425,Antalya
12426,Alanya
12427,Tasucu
12428,Mersin
12429,Botas
12430,Iskenderun
12431,Kyrenia
12432,Xeros
12433,Limassol
12434,Larnaca
12435,Dhekelia
12436,Famagusta
12437,Tartus
12438,Baniyas
12439,Al Ladhiqiyah
12440,Tarabulus
12441,Bayrut
12442,Sidon/Zahrani Terminal
12443,Sayda
12444,Haifa
12445,Hadera
12446,Ashdod
12447,Ashqelon
12448,Bur Said (Port Said)
12449,Damietta
12450,El Maadiya
12451,Al Iskandariyh (Alexandria)
12452,Sidi Kerir (Kurayr)
12453,El Hamra Oil Terminal
12454,Mersa Matruh
12455,Mersa Tobruq
12456,Darnah
12457,Banghazi
12458,Ez Zueitina
12459,Al Burayqah
12460,Ras   Lanuf
12461,As Sidr
12462,Misratah
12463,Khoms
12464,Mina Tarabulus (Tripoli)
12465,Az Zawiya
12466,Bouri Oil Field
12467,Marsa Sabratah
12468,Abu Khammash
12469,Zarzis
12470,Didon Terminal
12471,Houmt Souk
12472,Gabes
12473,Ashtart Oil Terminal
12474,Skhira
